Group,ID,Word,POS,Stress,Transcription,Variation,Page
G1,1,abdomen,n,antepenult,/ ˈæb.də.mən/,/æb.ˈdoʊ.mən/,182
G1,2,absent,adj,penult,/ˈæb.sənt/,___,181
G3,3,absentee,n,ult,/æb.sənˈti/,___,188
G3,4,abstract,"n, adj",penult,/ˈæb.strækt/,verb: /æbˈstrækt/,185
G5,5,abstract,n,penult,/ˈæb.strækt/,___,184
G3,6,absurd,adj,ult,/əbˈsɝd/,___,189
G3,7,absurdity,n,antepenult,/əb.ˈsɝ.də.ti/,/əbˈzɝdəti/,189
G3,8,accent,"n, v",penult,/ˈæk.sənt/,/ˈæksɛnt/,187
G1,9,accident,n,antepenult,/ ˈæk.sɪ.dənt /,___,182
G4,10,accidential,adj,penult,/ˌæk.sɪ.ˈdɛn.təl/,___,190
G5,11,achieve,v,ult,/ə.ˈtʃiv/,___,184
G4,12,act,"n, v",ult,/ ˈækt/,___,190
G1,13,active,adj,penult,/ ˈæk.tɪv /,___,181
G4,14,address,n,penult,/ˈæ.drɛs/,verb: /əˈdres/,193
G4,15,admirable,adj,antepenult,/ˈæd.mə.rə.bəl/,___,190
G4,16,admire,v,ult,/æd.ˈmaɪər/,___,190
G5,17,admit,v,ult,/əd.ˈmɪt/,___,184
G4,18,adorable,adj,antepenult,/ə.ˈdɔ.rə.bəl/,/ə.ˈdoʊ.rə.bəl/,190
G4,19,adore,v,ult,/ə.ˈdɔr/,/ə.ˈdoʊr /,190
G3,20,afghanistan,n,antepenult,/æfˈgæ.nə.stæn/,___,187
G1,21,Africa,n,antepenult,/ ˈæ.frɪ.kə /,___,182
G1,22,agenda,n,penult,/ ə.ˈdʒɛn.də /,___,182
G1,23,agent,n,penult,/ ˈeɪ.dʒənt /,___,181
G2,24,agile,adj,penult,/ˈæ.dʒəl/,/ˈæ.dʒaɪl/,194
G5,25,agree,v,ult,/ə.ˈgri/,___,184
G2,26,agriculture,n,1st,/ˈæ.grə.kʌl.tʃər/,/ˈæ.grɪ.kʌl.tʃər/,202
G5,27,Alabama,n,penult,/ˌæ.lə.ˈbæ.mə./,___,183
G3,28,alcohol,n,antepenult,/ˈæl.kə.hɔl/,/ˈælkəhɑl/,188
G3,29,alcoholism,n,1st,/ˈæl.kə.hɑ.lɪ.zəm/,/ˈælkəhɑlɪzəm/,188
G1,30,algebra,n,antepenult,/ ˈæl.dʒə.brə/,___,182
G5,31,alien,n,antepenult,/ˈeɪ.li.ən/,___,183
G2,32,alimony,n,1st,/ˈæ.lə.moʊ.ni/,/ˈæ.lɪ.mə.nɪ/,194
G1,33,alive,adj,ult,/ ə.ˈlaɪv /,___,181
G2,34,allegory,n,1st,/ˈæ.lə.gɔ.ri/,/ˈæ.lə.goʊ.ri/,194
G5,35,ally,n,penult,/ˈæ.laɪ/,verb: /ə.ˈlaɪ/ (ult),184
G3,36,amend,v,ult,/ə.ˈmɛnd/,___,189
G3,37,amendment,n,penult,/əˈmɛnd.mənt/,___,189
G1,38,ample,adj,penult,/ ˈæm.pəl /,___,181
G1,39,animal,n,antepenult,/ ˈæ.nə.məl /,___,182
G2,40,anniversary,n,antepenult,/ˌæ.nə.ˈvɜr.sə.ri/,___,194
G5,41,announce,v,ult,/ə.ˈnaʊns/,___,184
G2,42,anticipatory,adj,2nd,/æn.ˈtɪ.sə.pə.ˌtɔ.ri/,/ ænˈtɪs ə pəˌtoʊr i /,194
G1,43,antique,adj,ult,/ æn.ˈtik /,___,181
G1,44,apocalypse,n,antepenult,/ ə.ˈpɑ.kə.lɪps /,___,182
G1,45,appeal,n,ult,/ ə.ˈpil /,___,181
G3,46,arabic,n,antepenult,/ˈæ.rə.bɪk/,___,189
G2,47,arbitrary,adj,1st,/ˈɑr.bə.trɛ.ri/,___,194
G5,48,arduous,n,antepenult,/ˈɑr.dʒu.əs/,/ˈɑr.dyu.əs/,183
G5,49,argue,v,penult,/ˈɑr.gyu/,___,184
G1,50,arid,adj,penult,/ ˈæ.rɪd /,___,181
G2,51,aristocracy,n,antipenult,/ˌɛ.rə.ˈstɑ.krə.si/,/ˌæ.rə.ˈstɑ.krə.si/,202
G3,52,aristotelian,"n, adj",antepenult,/æ.rɪ.stəˈti.li.ən/,/ˌærɪstəˈtiliən/,189
G3,53,aristotle,n,1st,/ˈæ.rə.stɑ.təl/,___,189
G1,54,aroma,n,penult,/ ə.ˈroʊ.mə /,___,182
G3,55,arrival,n,penult,/əˈraɪ.vəl/,___,188
G3,56,arrive,v,ult,/əˈraɪv/,___,188
G4,57,artisan,n,antepenult,/ˈɑr.tɪ.zən/,/ˈɑː.tɪ.zæn/,193
G3,58,ascend,v,ult,/əˈsɛnd/,___,188
G3,59,ascendant,n,penult,/əˈsɛn.dənt/,___,188
G1,60,asparagus,n,antepenult,/ ə.ˈspæ.rə.gəs /,___,182
G3,61,aspect,n,penult,/ˈæ.spɛkt/,___,187
G2,62,aspirin,n,penult,/ˈæs.prɪn/,"/ˈæs.prən/
/ˈæs.pərən/",201
G2,63,assassination,n,penult,/əˌ.sæ.sə.ˈneɪ.ʃən/,___,202
G3,64,asset,n,penult,/ˈæ.sɛt/,/’æsət/,187
G1,65,astronomy,n,antepenult,/ ə.ˈstrɑ.nə.mi /,___,182
G2,66,autograph,"n, v",antepenult,/ˈɑ.tə.græf/,/ˈɔ.tə.græf/,202
G4,67,baby-sit,v,compound,/ˈbeɪ.bi sɪt/,___,191
G1,68,balance,"n, v",penult,/ ˈbæ.ləns /,___,181
G5,69,balance,n,penult,/ˈbæ.ləns/,___,___
G1,70,ballad,n,penult,/ ˈbæ.ləd /,___,181
G4,71,ballet,n,ult,/bæ.ˈleɪ/,/ˈbæl.eɪ/,192
G1,72,balloon,n,ult,/ bə.ˈlun /,___,181
G3,73,bamboo,n,ult,/bæmˈbu/,___,187
G1,74,banal,adj,ult,/ bə.ˈnæl/,"/ bə.ˈnɑl/, /ˈbeɪ.nl /",181
G1,75,barracuda,n,penult,/ bæ.rə.ˈku.də /,___,182
G1,76,basilica,n,antepenult,/ bə.ˈsɪ.lɪ.kə /,/ bə.ˈzɪ.lɪ.kə/,182
G4,77,bedridden,adj,antepenult,/ˈbɛd.ˌrɪ.dən/,___,191
G3,78,bibliography,n,antepenult,/bɪ.bliˈɑg.rə.fi/,___,187
G5,79,blossom,"n, v",penult,/ˈblɑ.səm/,___,184
G4,80,blueprint,n,penult,/ˈblu.ˌprɪnt/,___,191
G1,81,bonanza,n,penult,/ bə.ˈnæn.zə/,/ boʊ.ˈnæn.zə/,182
G5,82,bother,"v, n",penult,/ˈbɑ.ðər/,___,184
G1,83,bottle,n,penult,/ ˈbɑ.tl /,___,181
G1,84,bottom,n,penult,/ ˈbɑ.təm /,___,181
