Group,ID,Word,POS,Stress,Transcription,Variation,Page
G1,1,abdomen,n,antepenult,/ ˈæb də mən/,/æbˈdoʊ mən/,182
G1,2,absent,adj,penult,/ˈæb sənt/,,181
G1,3,accident,n,antepenult,/ ˈæk sɪ dənt /,,182
G1,4,active,adj,penult,/ ˈæk tɪv /,,181
G1,5,Africa,n,antepenult,/ ˈæ frɪ kə /,,182
G1,6,agenda,n,penult,/ əˈdʒɛn də /,,182
G1,7,agent,n,penult,/ ˈeɪ dʒənt /,,181
G1,8,algebra,n,antepenult,/ ˈæl dʒə brə/,,182
G1,9,alive,adj,ult,/ əˈlaɪv /,,181
G1,10,ample,adj,penult,/ ˈæm pəl /,,181
G1,11,animal,n,antepenult,/ ˈæ nə məl /,,182
G1,12,antique,adj,ult,/ ænˈtik /,,181
G1,13,apocalypse,n,antepenult,/ əˈpɑ kə lɪps /,,182
G1,14,appeal,n,ult,/ əˈpil /,,181
G1,15,arid,adj,penult,/ ˈæ rɪd /,,181
G1,16,aroma,n,penult,/ əˈroʊ mə /,,182
G1,17,asparagus,n,antepenult,/ əˈspæ rə gəs /,,182
G1,18,astronomy,n,antepenult,/ əsˈtrɑ nə mi /,,182
G1,19,balance,n,penult,/ ˈbæ ləns /,,181
G1,20,ballad,n,penult,/ ˈbæ ləd /,,181
G1,21,balloon,n,ult,/ bəˈlun /,,181
G1,22,banal,adj,ult,/ bəˈnæl/,"/ bəˈnɑl/, /ˈbeɪ nl /",181
G1,23,barracuda,n,penult,/ ˌbæ rəˈku də /,,182
G1,24,basilica,n,antepenult,/ bəˈsɪ lɪ kə/,/ bəˈzɪ lɪ kə/,182
G1,25,bonanza,n,penult,/ bəˈnæn zə/,/ boʊˈnæn zə/,182
G1,26,bottle,n,penult,/ ˈbɑ tl /,,181
G1,27,bottom,n,penult,/ ˈbɑ təm /,,181
G1,28,Brazil,n,ult,/ brəˈzɪl /,,181
G1,29,buffalo,n,antepenult,/ ˈbʌ fə loʊ /,,182
G1,30,busy,adj,penult,/ ˈbɪ zi /,,181
G1,31,cabbage,n,penult,/ ˈkæ bɪdʒ /,,181
G1,32,canal,n,ult,/ kəˈnæl /,,181
G1,33,canoe,n,ult,/ kəˈnu /,,181
G1,34,carrot,n,penult,/ ˈkæ rət /,,181
G1,35,cavalier,n,ult,/ ˌkæ vəˈlɪər/,/ˈkæ vəˌlɪər /,182
G1,36,cemetery,n,antepenult,/ ˈsɛ mɪˌtɛri /,,182
G1,37,chicken,n,penult,/ ˈtʃɪ kən /,,181
G1,38,cigarette,n,ult,/ ˌsɪ gəˈrɛt/,/ˈsɪ gəˌrɛt /,182
G1,39,clarinet,n,ult,/ ˌklæ rəˈnɛt /,,182
G1,40,comedy,n,antepenult,/ ˈkɑ mɪ di /,,182
G1,41,common,adj,penult,/ ˈkɑ mən /,,181
G1,42,complete,adj,ult,/ kəm'plit /,,181
G1,43,computer,n,penult,/ kəmˈpju tər /,,182
G1,44,constitute,v,antepenult,/ ˈkən stɪ tjut /,/ ˈkɑn stɪˌtjut /,179
G1,45,constitutional,adj,antepenult,/ ˌkɑn stɪˈtu ʃə nl/,/ ˌkɑn stɪˈtju ʃə nl /,179
G1,46,constitutionality,n,antepenult,/ ˌkɑn stɪˌtu ʃəˈnæl ɪ ti/,/ ˌkɑn stɪˌtju ʃəˈnæ lɪ ti /,179
G1,47,cookie,n,penult,/ ˈkʊ ki /,,181
G1,48,correct,adj,ult,/ kəˈrɛkt /,,181
G1,49,corrupt,adj,ult,/ kəˈrʌpt /,,181
G1,50,country,n,penult,/ ˈkʌn tri /,,181
G1,51,December,n,penult,/ dɪˈsɛm bər /,,182
G1,52,democracy,n,antepenult,/ dəˈmɑk rə si /,,179
G1,53,democrat,n,penult,/ dɛ 'məˌkræt /,,179
G1,54,democratic,adj,penult,/ ˌdɛm əˈkræt ɪk /,,179
G1,55,dimple,n,penult,/ ˈdɪm pəl /,,181
G1,56,diploma,n,penult,/ dɪˈploʊ mə /,,182
G1,57,diplomacy,n,antepenult,/ dɪˈploʊ mə si /,,179
G1,58,diplomat,n,antepenult,/ ˈdɪp ləˌmæt /,,179
G1,59,diplomatic,adj,penult,/ ˌdɪp ləˈmæt ɪk /,,179
G1,60,director,n,penult,/ dɪˈrɛk tər/,/ daɪˈrɛk tər/,182
G1,61,divine,adj,ult,/ dɪˈvaɪn /,,181
G1,62,early,adj,penult,/ ˈɜr li /,,181
G1,63,empire,n,penult,/ ˈɛm paɪər/,"/ɑmˈpɪər / 


",181
G1,64,engineer,n,ult,/ ˌɛn dʒəˈnɪər /,,182
G1,65,enigma,n,penult,/ əˈnɪg mə /,,182
G1,66,experiment,n,antepenult,/ɪkˈspɛ rə mənt/,,182
G1,67,father,n,penult,/ ˈfɑ ðər /,,181
G1,68,fluent,adj,penult,/ ˈflu ənt /,,181
G1,69,gasoline,n,ult,/ ˌgæ səˈlin/,/ˈgæ səˌlin /,182
G1,70,gazelle,n,ult,/ gəˈzɛl /,,181
G1,71,giraffe,n,ult,/dʒəˈræf/,,181
G1,72,harmonica,n,antepenult,/ hɑrˈmɑ nɪ kə /,,182
G1,73,hippopotamus,n,antepenult,/ ˌhɪ pəˈpɑ tə məs /,,182
G1,74,honest,adj,penult,/ ˈɑn ɪst /,,181
G1,75,horizon,n,penult,/ həˈraɪ zən /,,182
G1,76,husband,n,penult,/ ˈhʌz bənd /,,181
G1,77,intense,adj,ult,/ ɪnˈtɛns /,,181
G1,78,Japan,n,ult,/ dʒəˈpæn /,,181
G1,79,July,n,ult,/ dʒuˈlaɪ/,/ dʒəˈlaɪ/,181
G1,80,kangaroo,n,ult,/ ˌkæŋ gəˈru /,,182
G1,81,machine,n,ult,/ məˈʃin /,,181
G1,82,magazine,n,ult,/ ˌmæ gəˈzin/,/ˈmæ gəˌzin /,182
G1,83,mayonnaise,n,ult,/ ˌmeɪ əˈneɪz/,/ˈmeɪ əˌneɪz /,182
G1,84,mundane,adj,ult,/ mʌnˈdeɪn/,/ˈmʌn deɪn /,181
G1,85,obscene,adj,ult,/ əbˈsin /,,181
G1,86,obscure,adj,ult,/ əbˈskjʊr /,,181
G1,87,okay,adj,ult,/oʊˈkeɪ/,"/ ˈoʊˈkeɪ/, /ˈoʊˌkeɪ /",181
G1,88,origin,n,antepenult,/ ˈɔ rɪ dʒɪn/,/ ˈɑrɪ dʒɪn/,"179, 182"
G1,89,original,adj,antepenult,/ əˈrɪ dʒə nl /,,179
G1,90,originality,n,antepenult,/ əˌrɪ dʒəˈnæ lɪ ti /,,179
G1,91,parade,n,ult,/ pəˈreɪd /,,181
G1,92,perfect,adj,penult,/ˈpɜr fɪkt/,,181
G1,93,photograph,n,antepenult,/ ˈfoʊ təˌgræf/,/ ˈfoʊ təˌgrɑf /,179
